therapeutic_class,capsule_name,pdl_name,Unnamed: 3
ESTROGENS,Myfembree Uterine Fibroids,MYFEMBREE Tablet,
THYROID AGENTS,NP Thyroid,NP THYROID 120 Tablet,
SUBSTANCE USE DISORDER AGENTS,Naloxone carpuject,NALOXONE HYDROCHLORIDE Solution Prefilled Syringe,
SUBSTANCE USE DISORDER AGENTS,Naloxone nasal spray,NALOXONE HYDROCHLORIDE Solution,
SUBSTANCE USE DISORDER AGENTS,Naloxone vial,NALOXONE HYDROCHLORIDE Solution Prefilled Syringe,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Namenda,NAMENDA TITRATION PAK Tablet,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Namzaric,NAMZARIC Capsule Extended Release 24 Hour,
SUBSTANCE USE DISORDER AGENTS,Narcan,NARCAN Liquid,
OPHTHALMIC AGENTS : OPHTHALMIC ANTI-INFECTIVES,Natacyn (Natamycin) ophthalmic suspension,NATACYN Suspension,
DERMATOLOGICALS : SCABICIDES & PEDICULICIDES,Natroba,NATROBA Suspension,
ANTICONVULSANTS,Nayzilam,NAYZILAM Solution,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Neulasta,NEULASTA Solution Prefilled Syringe,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Neulasta Onpro,NEULASTA ONPRO KIT Prefilled Syringe Kit,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Neupogen,NEUPOGEN Solution,
OPHTHALMIC AGENTS : MISC,Nevanac ophthalmic suspension,NEVANAC Suspension,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Nexavar,NEXAVAR Tablet,
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Nexium DR capsule,NEXIUM Capsule Delayed Release,
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Nexium DR packet for oral suspension,NEXIUM Packet,
CONTRACEPTIVES : COMBINATION CONTRACEPTIVES,Nextstellis,NEXTSTELLIS Tablet,
ENDOCRINE AND METABOLIC AGENTS : GROWTH HORMONES,Ngenla,NGENLA Solution Pen-injector,
MISCELLANEOUS THERAPEUTIC CLASSES,Niktimvo intravenous vial,NIKTIMVO Solution,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Ninlaro,NINLARO Capsule,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Nivestym,NIVESTYM Solution,
ENDOCRINE AND METABOLIC AGENTS : GROWTH HORMONES,Norditropin,NORDITROPIN FLEXPRO Solution Pen-injector,
MUSCULOSKELETAL THERAPY AGENTS,Norgesic Forte,NORGESIC FORTE Tablet,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Norvir,NORVIR Tablet,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Novoeight,NOVOEIGHT Solution Reconstituted,
ANTIDIABETICS : INSULIN,Novolin 70/30,NOVOLIN 70/30 FLEXPEN Suspension Peninjector,
ANTIDIABETICS : INSULIN,Novolin 70/30 Flexpen OTC,NOVOLIN 70/30 FLEXPEN Suspension Peninjector,
ANTIDIABETICS : INSULIN,Novolin N,NOVOLIN N Suspension,
ANTIDIABETICS : INSULIN,Novolin R,NOVOLIN R Solution,
ANTIDIABETICS : INSULIN,Novolog,NOVOLOG Solution,
ANTIDIABETICS : INSULIN,Novolog 70/30,NOVOLOG MIX 70/30 Suspension,
ANTIDIABETICS : INSULIN,Novolog 70/30 FlexPen,NOVOLOG MIX 70/30 PREFILLED FLEXPEN Suspension Peninjector,
ANTIDIABETICS : INSULIN,Novolog FlexPen,NOVOLOG FLEXPEN Solution Pen-injector,
ANTIDIABETICS : INSULIN,Novolog cartridge,NOVOLOG PENFILL Solution Cartridge,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Novoseven RT,NOVOSEVEN RT Solution Reconstituted,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC - HORMONAL AND RELATED AGENTS,Nubeqa,NUBEQA Tablet,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Nucala Chronic Rhinosinusitis with Nasal Polyposis,NUCALA Solution Prefilled Syringe,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Nucala Eosinophilic Granulomatosis with Polyangitis (EGPA),NUCALA Solution Prefilled Syringe,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,Nucala Hypereosinophilic Syndrome (HES),NUCALA Solution Prefilled Syringe,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : MISC,Nuplazid,NUPLAZID Tablet,
MIGRAINE PRODUCTS : CALCITONIN GENE-RELATED PEPTIDE (CGRP) RECEPTOR ANTAG,Nurtec ODT Acute Treatment,NURTEC Tablet Disintegrating,
MIGRAINE PRODUCTS : CALCITONIN GENE-RELATED PEPTIDE (CGRP) RECEPTOR ANTAG,Nurtec ODT Migraine Prophylaxis,NURTEC Tablet Disintegrating,
ENDOCRINE AND METABOLIC AGENTS : GROWTH HORMONES,Nutropin AQ,NUTROPIN AQ NUSPIN 10 Solution Pen-injector,
CONTRACEPTIVES : COMBINATION CONTRACEPTIVES,Nuvaring,NUVARING Ring,
VAGINAL PRODUCTS,Nuvessa,NUVESSA Gel,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Nuwiq,NUWIQ Kit,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Nyvepria,NYVEPRIA Solution Prefilled Syringe,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Ocrevus,OCREVUS Solution,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Ocrevus Zunovo subcutaneous vial,OCREVUS ZUNOVO Solution,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Odefsey,ODEFSEY Tablet,
RESPIRATORY AGENTS : MISC,Ofev,OFEV Capsule,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Ogsiveo,OGSIVEO Tablet,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Ojemda,OJEMDA Tablet,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC,Olanzapine And Fluoxetine,OLANZAPINE/FLUOXETINE Capsule,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,Olanzapine ODT,OLANZAPINE ODT Tablet Disintegrating,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,Olanzapine tablet,OLANZAPINE Tablet,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ANGIOTENSIN II RECEPTOR BLOCKERS,Olmesartan,OLMESARTAN MEDOXOMIL Tablet,
ENDOCRINE AND METABOLIC AGENTS : MISC,Olpruva,OLPRUVA Therapy Pack,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Olumiant Alopecia Areata,OLUMIANT Tablet,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Olumiant Rheumatoid Arthritis,OLUMIANT Tablet,
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Omeprazole capsule,OMEPRAZOLE Capsule Delayed Release,
GLUCOSE MONITORING SUPPLIES : INSULIN INFUSION DISPOSABLE PUMP,Omnipod 5,OMNIPOD 5 DEXCOM G7G6 INTRO KIT (GEN 5) Kit,
GLUCOSE MONITORING SUPPLIES : INSULIN INFUSION DISPOSABLE PUMP,Omnipod Classic,OMNIPOD CLASSIC PDM STARTER KIT (GEN 3) Kit,
GLUCOSE MONITORING SUPPLIES : INSULIN INFUSION DISPOSABLE PUMP,Omnipod Dash,OMNIPOD DASH INTRO KIT (GEN 4) Kit,
GLUCOSE MONITORING SUPPLIES : INSULIN INFUSION DISPOSABLE PUMP,Omnipod Go,OMNIPOD GO 10 UNITS/DAY Kit,
ENDOCRINE AND METABOLIC AGENTS : GROWTH HORMONES,Omnitrope,OMNITROPE Solution Cartridge,
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,One Touch Ultra 2 System,ONETOUCH ULTRA 2 Kit,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,One Touch Ultra Test Strips 100 ct,ONETOUCH ULTRA Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,One Touch Ultra Test Strips 25 ct,ONETOUCH ULTRA Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,One Touch Ultra Test Strips 50 ct,ONETOUCH ULTRA Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,One Touch Verio,ONETOUCH VERIO TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,One Touch Verio Test Strips 100 ct,ONETOUCH VERIO TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,One Touch Verio Test Strips 25 ct,ONETOUCH VERIO TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,One Touch Verio Test Strips 50 ct,ONETOUCH VERIO TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,Onetouch Verio Flex System,ONETOUCH VERIO FLEX BLOOD GLUCOSE MONITORING SYSTEM Device,
ANTICONVULSANTS,Onfi oral suspension,ONFI Suspension,
ANTICONVULSANTS,Onfi tablet,ONFI Tablet,
ANTIDIABETICS : DIPEPTIDYL PEPTIDASE-4 (DPP-4) INHIBITORS,Onglyza,ONGLYZA Tablet,
CARDIOVASCULAR AGENTS : PULMONARY HYPERTENSION,Opsumit,OPSUMIT Tablet,
CARDIOVASCULAR AGENTS : MISC,Opsynvi tablet,OPSYNVI Tablet,
SUBSTANCE USE DISORDER AGENTS,Opvee (Nalmefene),OPVEE Solution,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : MONOCLONAL ANTIBODIES,"Opzelura cream, Nonsegmental Vitiligo",OPZELURA Cream,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Orencia ClickJect, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ORENCIA CLICKJECT Solution Auto-injector,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Orencia ClickJect, Psoriatic Arthritis (adult)",ORENCIA CLICKJECT Solution Auto-injector,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Orencia ClickJect, Psoriatic Arthritis (pediatric)",ORENCIA CLICKJECT Solution Auto-injector,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Orencia ClickJect, Rheumatoid Arthritis",ORENCIA CLICKJECT Solution Auto-injector,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Orencia prefilled syringe, Psoriatic Arthritis (adult)",ORENCIA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Orencia prefilled syringe, Psoriatic Arthritis (pediatric)",ORENCIA Solution Prefilled Syringe,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,"Orencia prefilled syringe, Rheumatoid Arthritis",ORENCIA Solution Prefilled Syringe,
CARDIOVASCULAR AGENTS : PULMONARY HYPERTENSION,Orenitram ER,ORENITRAM Tablet Extended-Release,
ENDOCRINE AND METABOLIC AGENTS : MISC,Orfadin,ORFADIN Capsule,
ESTROGENS,Oriahnn,ORIAHNN Capsule Therapy Pack,
ENDOCRINE AND METABOLIC AGENTS : MISC,Orilissa,ORILISSA Tablet,
HEMATOLOGICAL AGENTS : MISC,Orladeyo,ORLADEYO Capsule,
MUSCULOSKELETAL THERAPY AGENTS,Orphenadrine ER,ORPHENADRINE CITRATE ER Tablet Extended Release 12 HR*,
ANTIVIRALS : MISC,Oseltamivir,OSELTAMIVIR PHOSPHATE Capsule,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Otezla Behcet’s Disease,OTEZLA Tablet,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Otezla Plaque Psoriasis (adult),OTEZLA Tablet,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Otezla Plaque Psoriasis (pediatric),OTEZLA Tablet,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Otezla Psoriatic Arthritis (adult),OTEZLA Tablet,
ANTIDIABETICS : INCRETIN MIMETIC AGENTS (GLP-1 RECEPTOR AGONISTS),Ozempic,OZEMPIC Solution Pen-injector,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Paliperidone ER,PALIPERIDONE ER Tablet Extended Release 24 HR*,
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Pantoprazole DR packet for oral suspension,PANTOPRAZOLE SODIUM Tablet Delayed Release,
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Pantoprazole tablet,PANTOPRAZOLE SODIUM Tablet Delayed Release,
GLUCOSE MONITORING SUPPLIES : CGMs,Paradigm,PARADIGM REAL-TIME TRANSMITTER Miscellaneous,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MISC,"Paroxetine 7.5 mg, IR capsule",PAROXETINE Capsule,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,Perindopril,PERINDOPRIL ERBUMINE Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Perseris,PERSERIS Prefilled Syringe,
ENDOCRINE AND METABOLIC AGENTS : MISC,Pheburane,PHEBURANE Pellet,
VAGINAL PRODUCTS,Phexxi,PHEXXI Gel,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Ponvory starter pack,PONVORY 14-DAY STARTER PACK Tablet Therapy Pack,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Ponvory tablet,PONVORY Tablet,
ANTICOAGULANTS : DIRECT FACTOR XA INHIBITORS & MISC,Pradaxa,PRADAXA Capsule,
ANTIHYPERLIPIDEMICS,Praluent,PRALUENT Solution Auto-injector,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Precision Test Strips 100 ct,FREESTYLE PRECISION NEO BLOOD GLUCOSE TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Precision Test Strips 50 ct,FREESTYLE PRECISION NEO BLOOD GLUCOSE TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,Precision Xtra Beta Ketone Test Strips 10 ct,PRECISION XTRA BLOOD GLUCOSE TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,Precision Xtra Monitor,PRECISION XTRA MONITOR Device,
ESTROGENS,Premarin tablet,PREMARIN Tablet,
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Prevacid SoluTab,PREVACID SOLUTAB Tablet Delayed Release Disintegrating,
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Prevacid capsule,PREVACID Capsule Delayed Release,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Prezcobix,PREZCOBIX Tablet,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Prezista oral suspension,PREZISTA Suspension,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Prezista tablet,PREZISTA Tablet,
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Prilosec DR packet for oral suspension,PRILOSEC Packet,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : BETA ADRENERGICS,Proair Digihaler,"PROAIR DIGIHALER Aerosol Powder, Breath Activated",
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : BETA ADRENERGICS,Proair Respiclick,"PROAIR RESPICLICK Aerosol Powder, Breath Activated",
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Procrit,PROCRIT Solution,
IMMUNOSUPPRESSIVE AGENTS,Prograf capsule,PROGRAF Capsule,
IMMUNOSUPPRESSIVE AGENTS,Prograf packet for oral suspension,PROGRAF Packet,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Promacta tablet,PROMACTA Tablet,
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Protonix DR packet oral suspension,PROTONIX Packet,
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Protonix DR tablet,PROTONIX Tablet Delayed Release,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Pulmicort Flexhaler,"PULMICORT FLEXHALER Aerosol Powder, Breath Activated",
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : MISC,Pylera,PYLERA Capsule,
ADHD / ANTI-NARCOLEPSY AGENTS : MISC,Qelbree,QELBREE Capsule Extended Release 24 Hour,
ANTIDIABETICS : COMBINATIONS,Qtern,QTERN Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,Quetiapine,QUETIAPINE FUMARATE Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,Quetiapine ER,QUETIAPINE FUMARATE ER Tablet Extended Release 24 HR*,
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,Quillichew XR,QUILLICHEW ER Table Chewable Extended Release,
ADHD / ANTI-NARCOLEPSY AGENTS : STIMULANTS,Quillivant XR,QUILLIVANT XR Suspension Reconstituted ER,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,Quinapril,QUINAPRIL HYDROCHLORIDE Tablet,
MIGRAINE PRODUCTS : CALCITONIN GENE-RELATED PEPTIDE (CGRP) RECEPTOR ANTAG,Qulipta,QULIPTA Tablet,
ANTIASTHMATIC AND BRONCHODILATOR AGENTS : STEROID INHALANTS,Qvar,"QVAR REDIHALER Aerosol, Breath Activated",
ULCER DRUGS / ANTISPASMODICS / ANTICHOLINERGICS : PROTON PUMP INHIBITORS,Rabeprazole tablet,RABEPRAZOLE SODIUM Tablet Delayed Release,
CARDIOVASCULAR AGENTS - ANTIHYPERTENSIVES : ACE INHIBITORS,Ramipril,RAMIPRIL Capsule,
ENDOCRINE AND METABOLIC AGENTS : MISC,Ravicti,RAVICTI Liquid,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : MULTIPLE SCLEROSIS AGENTS,Rebif (Interferon Beta-1a) prefilled syringe,REBIF Solution Prefilled Syringe,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Rebinyn,REBINYN Solution Reconstituted,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Reblozyl (Luspatercept-Aamt) vial,REBLOZYL Solution Reconstituted,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Releuko,RELEUKO Solution Prefilled Syringe,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,ReliOn Rx TMX Strips 100 ct,RELION TRUE METRIX BLOODGLUCOSE TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : TEST STRIPS,ReliOn Rx TMX Strips 50 ct,RELION TRUE METRIX BLOODGLUCOSE TEST STRIPS Strip,
GLUCOSE MONITORING SUPPLIES : DEVICES AND KITS,Relion TrueMetrix Air,RELION TRUE METRIX AIR BLOOD GLUCOSE METER/BLUETOOTH Kit,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Remicade,REMICADE Solution Reconstituted,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Renflexis,RENFLEXIS Solution Reconstituted,
GASTROINTESTINAL AGENTS : PHOSPHATE BINDER AGENTS,Renvela,RENVELA Tablet,
ANTIHYPERLIPIDEMICS,Repatha,REPATHA Solution Prefilled Syringe,
OPHTHALMIC AGENTS : MISC,Restasis,RESTASIS Emulsion,
OPHTHALMIC AGENTS : MISC,Restasis MultiDose,RESTASIS MULTIDOSE Emulsion,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Retevmo,RETEVMO Tablet,
CARDIOVASCULAR AGENTS : PULMONARY HYPERTENSION,Revatio oral suspension,REVATIO Suspension Reconstituted,
CARDIOVASCULAR AGENTS : PULMONARY HYPERTENSION,Revatio tablet,REVATIO Tablet,
MISCELLANEOUS THERAPEUTIC CLASSES,Revlimid,REVLIMID Capsule,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Rexulti Adjunct Treatment of Major Depressive Disorder,REXULTI Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Rexulti Adjunct treatment of major depressive disorder,REXULTI Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : QUINOLINONE DERIVATIVES,Rexulti Schizophrenia,REXULTI Tablet,
ANTIVIRALS : ANTIRETROVIRALS (HIV),Reyataz,REYATAZ Capsule,
MIGRAINE PRODUCTS : SELECTIVE SEROTONIN AGONISTS 5-HT(1F),Reyvow,REYVOW Tablet,
GASTROINTESTINAL AGENTS : MISC,Rezdiffra,REZDIFFRA Tablet,
MISCELLANEOUS THERAPEUTIC CLASSES,Rezurock,REZUROCK Tablet,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Rinvoq Ankylosing Spondylitis,RINVOQ Tablet Extended Release 24 HR*,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Rinvoq Atopic Dermatitis (adult),RINVOQ Tablet Extended Release 24 HR*,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Rinvoq Crohn's Disease (adult),RINVOQ Tablet Extended Release 24 HR*,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Rinvoq Non-Radiographic Axial Spondyloarthritis,RINVOQ Tablet Extended Release 24 HR*,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Rinvoq Polyarticular Juvenile Idiopathic Arthritis (PJIA),RINVOQ Tablet Extended Release 24 HR*,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Rinvoq Psoriatic Arthritis (adult),RINVOQ LQ Solution,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Rinvoq Psoriatic Arthritis (pediatric),RINVOQ Tablet Extended Release 24 HR*,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Rinvoq Rheumatoid Arthritis,RINVOQ Tablet Extended Release 24 HR*,
TUMOR NECROSIS FACTOR ALPHA INHIBITORS AND MISC IMMUNOSUPPRESSIVES,Rinvoq Ulcerative Colitis (adult),RINVOQ Tablet Extended Release 24 HR*,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Risperdal Consta,RISPERDAL CONSTA Suspension Reconstituted ER,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Risperdal oral solution,RISPERDAL Solution,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Risperdal tablet,RISPERDAL Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Risperidone ODT,RISPERIDONE ODT Tablet Disintegrating,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Risperidone oral solution,RISPERIDONE Solution,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Risperidone tablet,RISPERIDONE Tablet,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Rivastigmine capsule,RIVASTIGMINE TARTRATE Capsule,
PSYCHOTHERAPEUTIC AND NEUROLOGICAL AGENTS : ANTIDEMENTIA AGENTS,Rivastigmine patch,RIVASTIGMINE TRANSDERMALSYSTEM Patch 24 HR,
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Rixubis,RIXUBIS Solution Reconstituted,
HEMATOPOIETIC AGENTS : HEMATOPOIETIC GROWTH FACTORS,Rolvedon prefilled syringe,ROLVEDON Solution Prefilled Syringe,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Rozlytrek (Entrectinib) capsule,ROZLYTREK Capsule,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Rozlytrek (Entrectinib) pellet packet,ROZLYTREK Packet,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Rubraca,RUBRACA Tablet,
HEMATOLOGICAL AGENTS : MISC,Ruconest,RUCONEST Solution Reconstituted,
ANTIDIABETICS : INCRETIN MIMETIC AGENTS (GLP-1 RECEPTOR AGONISTS),Rybelsus,RYBELSUS Tablet,
ANTINEOPLASTICS AND ADJUNCTIVE THERAPIES : ANTINEOPLASTIC ENZYME INHIBITORS,Rydapt,RYDAPT Capsule,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : BENZISOXAZOLES,Rykindo,RYKINDO Suspension Reconstituted ER,
MISCELLANEOUS THERAPEUTIC CLASSES,Rystiggo,RYSTIGGO Solution,
MISCELLANEOUS THERAPEUTIC CLASSES,SPS,SPS Suspension,
ANTICONVULSANTS,Sabril packet for oral solution,SABRIL Packet,
ANTICONVULSANTS,Sabril tablet,SABRIL Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,Saphris,SAPHRIS Tablet Sublingual,
ENDOCRINE AND METABOLIC AGENTS : MISC,Sapropterin dihydrochloride packet for oral solution,SAPROPTERIN DIHYDROCHLORIDE Packet,
ENDOCRINE AND METABOLIC AGENTS : MISC,Sapropterin dihydrochloride tablet,SAPROPTERIN DIHYDROCHLORIDE Tablet,
ANTICOAGULANTS : DIRECT FACTOR XA INHIBITORS & MISC,Savaysa,SAVAYSA Tablet,
ANTIPSYCHOTICS / ANTIMANIC AGENTS : DIBENZAPINES,Secuado,SECUADO Patch 24 HR,
ANTIDIABETICS : COMBINATIONS,Segluromet,SEGLUROMET Tablet,
DERMATOLOGICALS : ANTIPSORIATICS,"Selarsdi Crohn's Disease (adult), intravenous vial",SELARSDI Solution Prefilled Syringe,
