Preferred,Non-Preferred
 ,"Insulin glargine-yfgn pen, vial "
HUMULIN R U-500 (insulin regular)      ,"LEVEMIR (insulin detemir) FlexTouch, vial  "
"   concentrated vial, Kwikpen",REZVOGLAR (insulin glargine-aglr) Kwikpen 
No PA Required ,"SEMGLEE (insulin glargine-yfgn) pen, vial TOUJEO (insulin glargine) Solostar "
 ,TOUJEO MAX (insulin glargine) Solostar 
"HUMULIN 70/30 (OTC) Kwikpen, vial  ",TRESIBA (insulin degludec) vial
Insulin aspart protamine/insulin aspart ,PA Required
"70/30 FlexPen, vial (generic Novolog Mix)",PA Required 
, 
,"HUMALOG MIX 50/50 Kwikpen, vial "
, 
,"HUMALOG MIX 75/25 Kwikpen, vial "
,"NOVOLIN 70/30 FlexPen, vial (OTC)"
,PA Required 
No PA Required , 
 ,SYMLIN (pramlintide) pen
Metformin IR tablets ,PA Required 
 , 
"Metformin ER 500mg, 750mg tablets (generic Glucophage ",GLUMETZA ER (metformin) tablet 
XR), 
Preferred ,Metformin 625 mg tablets 
 , 
JANUVIA (sitagliptin) tablet ,"Metformin ER (generic Fortamet, Glumetza) "
 , 
TRADJENTA (linagliptin) tablet,Metformin solution (generic Riomet) 
Preferred , 
 ,RIOMET (metformin) solution 
JANUVIA (sitagliptin) tablet , 
 ,RIOMET ER (metformin) suspension
TRADJENTA (linagliptin) tablet,Non-Preferred 
Preferred ,PA Required 
 , 
JANUVIA (sitagliptin) tablet ,Alogliptin tablet 
 , 
TRADJENTA (linagliptin) tablet,NESINA (alogliptin) tablet 
, 
,ONGLYZA (saxagliptin) tablet 
,Saxagliptin tablet 
, 
,Sitagliptin (generic Zituvio)
,Non-Preferred 
,PA Required 
, 
,Alogliptin tablet 
, 
,NESINA (alogliptin) tablet 
, 
,ONGLYZA (saxagliptin) tablet 
,Saxagliptin tablet 
, 
,Sitagliptin (generic Zituvio)
,Non-Preferred 
,PA Required 
, 
,Alogliptin tablet 
, 
,NESINA (alogliptin) tablet 
, 
,ONGLYZA (saxagliptin) tablet 
,Saxagliptin tablet 
, 
,Sitagliptin (generic Zituvio)
,ZITUVIO (sitagliptin tablet)
,ZITUVIO (sitagliptin tablet)
,ZITUVIO (sitagliptin tablet)
,ZITUVIO (sitagliptin tablet)
,ZITUVIO (sitagliptin tablet)
,ZITUVIO (sitagliptin tablet)
Preferred ,Non-Preferred 
*Must meet eligibility criteria ,PA Required 
 , 
*BYETTABNR (exenatide) pen ,Exenatide pen 
 , 
*TRULICITY (dulaglutide) pen ,Liraglutide pen 
 , 
*VICTOZABNR (liraglutide) pen ,MOUNJARO (tirzepatide) pen 
 , 
**BYDUREON BCISE ,OZEMPIC (semaglutide) pen 
(exenatide ER) autoinjector   , 
(changes effective 08/08/2024),RYBELSUS (semaglutide) oral 
,tablet 
, 
,WEGOVY (semaglutide) pen
,Other Hypoglycemic Combinations
,PA Required 
, 
,Alogliptin/pioglitazone tablet 
, 
,Glipizide/metformin tablet 
, 
No PA Required ,Glyburide/metformin tablet 
 , 
FARXIGABNR (dapagliflozin) ,GLYXAMBI (empagliflozin/linagliptin) tablet 
tablet, 
,OSENI (alogliptin/pioglitazone) tablet 
, 
,Pioglitazone/glimepiride tablet 
, 
,QTERN (dapagliflozin/saxagliptin) tablet 
, 
,SOLIQUA (insulin glargine/lixisenatide) pen 
, 
,STEGLUJAN (ertugliflozin/sitagliptin) tablet 
, 
,TRIJARDY XR 
,tablet(empagliflozin/linagliptin/metformin) 
, 
,XULTOPHY (insulin degludec/liraglutide) pen
,Meglitinides
,PA Required 
,Nateglinide tablet 
, 
,Repaglinide tablet
,Meglitinides Combination with Metformin
,PA Required 
, 
,Repaglinide/metformin
,Sodium-Glucose Cotransporter Inhibitors (SGLT inhibitors)
,PA Required 
, 
,Dapagliflozin tablet 
, 
,INPEFA (sotagliflozin) tablet
JARDIANCE (empagliflozin) ,INVOKANA (canagliflozin) tablet 
tablet, 
JARDIANCE (empagliflozin) ,STEGLATRO (ertugliflozin) tablet
tablet,INVOKANA (canagliflozin) tablet 
JARDIANCE (empagliflozin) , 
tablet,STEGLATRO (ertugliflozin) tablet
JARDIANCE (empagliflozin) ,INVOKANA (canagliflozin) tablet 
tablet, 
JARDIANCE (empagliflozin) ,STEGLATRO (ertugliflozin) tablet
tablet,INVOKANA (canagliflozin) tablet 
JARDIANCE (empagliflozin) , 
tablet,STEGLATRO (ertugliflozin) tablet
JARDIANCE (empagliflozin) ,INVOKANA (canagliflozin) tablet 
tablet, 
JARDIANCE (empagliflozin) ,STEGLATRO (ertugliflozin) tablet
tablet,INVOKANA (canagliflozin) tablet 
JARDIANCE (empagliflozin) , 
tablet,STEGLATRO (ertugliflozin) tablet
JARDIANCE (empagliflozin) ,INVOKANA (canagliflozin) tablet 
tablet, 
JARDIANCE (empagliflozin) ,STEGLATRO (ertugliflozin) tablet
tablet,INVOKANA (canagliflozin) tablet 
, 
,STEGLATRO (ertugliflozin) tablet
,INVOKANA (canagliflozin) tablet 
, 
,STEGLATRO (ertugliflozin) tablet
,INVOKANA (canagliflozin) tablet 
, 
,STEGLATRO (ertugliflozin) tablet
,INVOKANA (canagliflozin) tablet 
, 
,STEGLATRO (ertugliflozin) tablet
,SGLT Inhibitor Combinations with Metformin
No PA Required ,PA Required 
 , 
SYNJARDY ,Dapagliflozin/Metformin XR tablet 
(empagliflozin/metformin) tablet , 
 ,INVOKAMET (canagliflozin/metformin) tablet 
SYNJARDY XR , 
(empagliflozin/metformin) tablet ,INVOKAMET XR (canagliflozin/metformin) 
 ,tablet 
XIGDUO XRBNR , 
(dapagliflozin/metformin) ,SEGLUROMET (ertugliflozin/metformin) tablet
tablet,Thiazolidinediones (TZDs)
,PA Required 
No PA Required , 
 ,ACTOS (pioglitazone) tablet
Pioglitazone tablet,Thiazolidinediones Combination with Metformin
,PA Required 
, 
,ACTOPLUS MET (pioglitazone/metformin) 
No PA Required,TABLET 
, 
DELESTROGENBNR (estradiol valerate) vial ,Pioglitazone/metformin tablet
 ,Therapeutic Drug Class: ESTROGEN AGENTS -Effective 10/1/2024
DEPO-ESTRODIOL (estradiol cypionate) vial,PA Required
,Parenteral
,"Estradiol valerate 10mg/mL vial, 20mg/mL vial"
Estradiol valerate 40mg/mL vial,
Estradiol oral tablet ,CLIMARA (estradiol) patch 
 , 
Estradiol (generic Climara) weekly patch ,DOTTI (estradiol) patch 
 , 
MINIVELLEBNR (estradiol) patch ,ESTRACE (estradiol) oral tablet 
 , 
VIVELLE-DOTBNR (estradiol) patch,Estradiol bi-weekly patch 
Preferred , 
No PA Required ,LYLLANA (estradiol) patch 
 , 
BAQSIMI (glucagon) nasal spray ,MENOSTAR (estradiol) patch
 ,Non-Preferred 
"Glucagon Emergency Kit (Eli Lilly, Fresenius, Amphastar) ",PA Required 
 , 
ZEGALOGUE (dasiglucagon) autoinjector,"GVOKE (glucagon) Hypopen, Syringe, vial "
Preferred , 
No PA Required ,ZEGALOGUE (dasiglucagon) syringe
(If diagnosis and dose met) ,Non-Preferred 
 ,PA Required 
"GENOTROPIN (somatropin) cartridge, Miniquick pen", 
,HUMATROPE (somatropin) cartridge 
, 
,NGENLA (somatrogon-ghla) pen
NORDITROPIN (somatropin) Flexpro pen,NUTROPIN AQ (somatropin) Nuspin injector 
NORDITROPIN (somatropin) Flexpro pen, 
NORDITROPIN (somatropin) Flexpro pen,"OMNITROPE (somatropin) cartridge, vial "
NORDITROPIN (somatropin) Flexpro pen, 
NORDITROPIN (somatropin) Flexpro pen,"SAIZEN (somatropin) cartridge, vial "
NORDITROPIN (somatropin) Flexpro pen, 
NORDITROPIN (somatropin) Flexpro pen,SEROSTIM (somatropin) vial 
NORDITROPIN (somatropin) Flexpro pen, 
NORDITROPIN (somatropin) Flexpro pen,SKYTROFA (lonapegsomatropin-tcgd) cartridge 
NORDITROPIN (somatropin) Flexpro pen, 
,SOGROYA (somapacitan-beco) pen 
, 
,ZOMACTON (somatropin) vial
,NUTROPIN AQ (somatropin) Nuspin injector 
, 
,"OMNITROPE (somatropin) cartridge, vial "
, 
,"SAIZEN (somatropin) cartridge, vial "
, 
,SEROSTIM (somatropin) vial 
, 
,SKYTROFA (lonapegsomatropin-tcgd) cartridge 
, 
,SOGROYA (somapacitan-beco) pen 
, 
,ZOMACTON (somatropin) vial
,NUTROPIN AQ (somatropin) Nuspin injector 
, 
,"OMNITROPE (somatropin) cartridge, vial "
, 
,"SAIZEN (somatropin) cartridge, vial "
, 
,SEROSTIM (somatropin) vial 
, 
,SKYTROFA (lonapegsomatropin-tcgd) cartridge 
, 
,SOGROYA (somapacitan-beco) pen 
, 
,ZOMACTON (somatropin) vial
,NUTROPIN AQ (somatropin) Nuspin injector 
, 
,"OMNITROPE (somatropin) cartridge, vial "
, 
,"SAIZEN (somatropin) cartridge, vial "
, 
,SEROSTIM (somatropin) vial 
, 
,SKYTROFA (lonapegsomatropin-tcgd) cartridge 
, 
,SOGROYA (somapacitan-beco) pen 
, 
,ZOMACTON (somatropin) vial
,NUTROPIN AQ (somatropin) Nuspin injector 
, 
,"OMNITROPE (somatropin) cartridge, vial "
, 
,"SAIZEN (somatropin) cartridge, vial "
, 
,SEROSTIM (somatropin) vial 
, 
,SKYTROFA (lonapegsomatropin-tcgd) cartridge 
, 
,SOGROYA (somapacitan-beco) pen 
, 
,ZOMACTON (somatropin) vial
,NUTROPIN AQ (somatropin) Nuspin injector 
, 
,"OMNITROPE (somatropin) cartridge, vial "
, 
,"SAIZEN (somatropin) cartridge, vial "
, 
,SEROSTIM (somatropin) vial 
, 
,SKYTROFA (lonapegsomatropin-tcgd) cartridge 
, 
,SOGROYA (somapacitan-beco) pen 
, 
,ZOMACTON (somatropin) vial
,NUTROPIN AQ (somatropin) Nuspin injector 
, 
,"OMNITROPE (somatropin) cartridge, vial "
, 
,"SAIZEN (somatropin) cartridge, vial "
, 
,SEROSTIM (somatropin) vial 
, 
,SKYTROFA (lonapegsomatropin-tcgd) cartridge 
, 
,SOGROYA (somapacitan-beco) pen 
, 
,ZOMACTON (somatropin) vial
,NUTROPIN AQ (somatropin) Nuspin injector 
, 
,"OMNITROPE (somatropin) cartridge, vial "
, 
,"SAIZEN (somatropin) cartridge, vial "
, 
,SEROSTIM (somatropin) vial 
, 
,SKYTROFA (lonapegsomatropin-tcgd) cartridge 
, 
,SOGROYA (somapacitan-beco) pen 
, 
,ZOMACTON (somatropin) vial
,NUTROPIN AQ (somatropin) Nuspin injector 
, 
,"OMNITROPE (somatropin) cartridge, vial "
, 
,"SAIZEN (somatropin) cartridge, vial "
, 
,SEROSTIM (somatropin) vial 
, 
,SKYTROFA (lonapegsomatropin-tcgd) cartridge 
, 
,SOGROYA (somapacitan-beco) pen 
, 
,ZOMACTON (somatropin) vial
,NUTROPIN AQ (somatropin) Nuspin injector 
, 
,"OMNITROPE (somatropin) cartridge, vial "
, 
,"SAIZEN (somatropin) cartridge, vial "
, 
,SEROSTIM (somatropin) vial 
, 
,SKYTROFA (lonapegsomatropin-tcgd) cartridge 
, 
,SOGROYA (somapacitan-beco) pen 
, 
,ZOMACTON (somatropin) vial
No PA Required ,PA Required 
 , 
DICLEGIS DRBNR tablet ,AKYNZEO (netupitant/palonosetron) capsule 
(doxylamine/pyridoxine) , 
 ,ANTIVERT (meclizine) 50 mg tablet 
"Meclizine (Rx) 12.5 mg, 25 mg ", 
tablet ,ANZEMET (dolasetron) tablet 
 , 
"Metoclopramide solution, tablet ","Aprepitant capsule, tripack "
 , 
"Ondansetron ODT; 4mg, 8mg ",BONJESTA ER (doxylamine/pyridoxine) tablet 
tablet, 
,Doxylamine/pyridoxine tablet (generic Diclegis)
Ondansetron oral suspension/ solution ,Dronabinol capsule 
 , 
Prochlorperazine tablet ,"EMEND (aprepitant) capsule, powder for suspension, dose/tri-pack "
 , 
"Promethazine syrup, tablet",Granisetron tablet 
No PA Required , 
 ,MARINOL (dronabinol) capsule 
Prochlorperazine 25 mg suppository , 
 ,Ondansetron 16mg tablet 
"Promethazine 12.5 mg, 25 mg suppository ", 
 ,REGLAN (metoclopramide) tablet 
Scopolamine patch, 
Preferred ,Trimethobenzamide capsule 
 , 
 ,ZOFRAN (ondansetron) tablet
LINZESS (linaclotide) capsule ,PA Required 
 , 
Lubiprostone capsule ,PROMETHEGAN 50 mg (Promethazine) suppository 
 , 
MOVANTIK (naloxegol) tablet,SANCUSO (granisetron) patch 
, 
,TRANSDERM-SCOP (scopolamine) patch
,Non-Preferred 
, 
,Alosetron tablet 
, 
,AMITIZA (lubiprostone) capsule 
, 
,IBSRELA tablet 
, 
,LOTRONEX (alosetron) tablet 
, 
,MOTEGRITY (prucalopride) tablet
,Medication
,Amitiza (lubiprostone)
,Linzess (linaclotide)
,Movantik (naloxegol)
,Viberzi (eluxadoline)
,Relistor subcutaneous injection (methylnaltrexone)
,Relistor oral (methylnaltrexone)
,Lotronex (alosetron)
,Symproic (Naldemedine)
,Trulance (plecanatide)
,Motegrity (prucalopride)
,"CIC – chronic idiopathic constipation, OIC – opioid induced constipation, IBS – irritable bowel syndrome, D – diarrhea predominant, "
,C – constipation predominant
Hydrocortisone 2.5% cream with applicator ,
 ,PA Required 
Hydrocortisone enema,Lidocaine 3% cream
No PA Required ,PA Required 
Lidocaine 5% ointment, 
No PA Required ,ANALPRAM HC (Hydrocortisone-Pramoxine) 
 ,"1%-1% cream, 2.5%-1% cream "
Hydrocortisone-Pramoxine 1%-, 
1% cream ,EPIFOAM (Hydrocortisone-Pramoxine) 1%-1% foam 
 , 
Lidocaine-Hydrocortisone 3-,Hydrocortisone-Pramoxine 2.5%-1% cream 
0.5% cream with applicator , 
 ,Lidocaine-Hydrocortisone in Coleus 2%-2% cream 
Lidocaine-Prilocaine Cream (all other manufacturers) ,kit 
 , 
PROCTOFOAM-HC ,Lidocaine-Hydrocortisone 2.8%-0.55% gel 
(hydrocortisone-pramoxine) , 
1%-1% foam,"Lidocaine-Hydrocortisone 3%-0.5% cream w/o applicator, cream kit "
No PA Required , 
 ,Lidocaine-Hydrocortisone 3%-1% cream kit 
CREON (pancrelipase) capsule, 
,Lidocaine-Hydrocortisone 3%-2.5% gel kit 
, 
,Lidocaine-Prilocaine Cream (Fougera only) 
, 
,PLIAGIS (lidocaine-tetracaine) 7%-7% cream 
, 
,PROCORT (Hydrocortisone-Pramoxine) 1.85%-
,1.15% cream 
, 
,RECTIV (nitroglycerin) 0.4% ointment
,PA Required 
, 
,PERTZYE (pancrelipase) capsule
VIOKACE (pancrelipase) tablet ,
 ,PA Required 
ZENPEP (pancrelipase) capsule, 
No PA Required ,"ACIPHEX (rabeprazole) tablet, sprinkle capsule "
 , 
"Esomeprazole DR packet for oral suspension, capsule (RX) ",DEXILANT (dexlansoprazole) capsule 
 , 
Lansoprazole DR capsules (RX) ,Dexlansoprazole capsule 
 , 
Lansoprazole ODT (lansoprazole)  ,"Esomeprazole DR 49.3 capsule (RX), (OTC) capsule "
(for members under 2 years) , 
 ,KONVOMEP (Omeprazole/Na bicarbonate) suspension 
Omeprazole DR capsule (RX) , 
 ,Lansoprazole DR capsule OTC 
Pantoprazole tablet , 
 ,"NEXIUM (esomeprazole) capsule (RX), oral suspension packet, 24HR (OTC) "
PROTONIX (pantoprazole DR) packet for oral suspensionBNR, 
,"Omeprazole/Na bicarbonate capsule, packet for oral suspension "
, 
,"Omeprazole DR tablet (OTC), ODT (OTC) "
, 
,Pantoprazole packet for oral suspension 
, 
,"PREVACID (lansoprazole) capsule, Solutab, suspension "
, 
,PRILOSEC (omeprazole) suspension 
, 
,PROTONIX (pantoprazole DR) tablet 
, 
,Rabeprazole tablet 
, 
,VOQUEZNA (vonoprazan) tablet 
, 
,"ZEGERID (omeprazole/Na bicarbonate) capsule, packet for oral suspension"
No PA Required ,PA Required 
Brand/generic changes effective , 
08/08/2024 ,"AZULFIDINE (sulfasalazine) Entab, tablet "
 , 
APRISO (mesalamine ER) capsule ,Balsalazide capsule 
 , 
Mesalamine DR tablet (generic Lialda) (Takeda only) ,Budesonide DR tablet 
 , 
Mesalamine ER tablet (generic Apriso) (Teva only) ,COLAZAL (balsalazide) capsule 
 , 
PENTASABNR (mesalamine) capsule ,DELZICOL (mesalamine DR) capsule 
 , 
Sulfasalazine IR and DR tablet,DIPENTUM (olsalazine) capsule 
No PA Required , 
 ,LIALDA (mesalamine DR) tablet 
Mesalamine suppository , 
 ,"Mesalamine DR tablet (generic Asacol HD, Lialda) "
Mesalamine 4gm/60 ml enema , 
(generic SF ROWASA),"Mesalamine DR/ER capsule (generic Apriso, Delzicol, Pentasa) "
, 
,UCERIS (budesonide) tablet
,PA Required 
, 
,Budesonide foam 
, 
,CANASA (mesalamine) suppository 
, 
,"Mesalamine enema, kit "
, 
,"ROWASA/SF ROWASA enema, kit (mesalamine) "
, 
,UCERIS (budesonide) foam
No PA Required ,PA Required 
 , 
Enoxaparin syringe,ARIXTRA (fondaparinux) syringe
Enoxaparin vial,Fondaparinux syringe 
No PA Required , 
 ,"FRAGMIN (dalteparin) vial, syringe "
Aspirin/dipyridamole ER capsule , 
 ,"LOVENOX (enoxaparin) syringe, vial"
BRILINTA (tigacrelor) tablet ,PA Required 
 , 
Cilostazol tablet ,EFFIENT (prasugrel) tablet 
 , 
Clopidogrel tablet ,PLAVIX (clopidogrel) tablet
 ,Non-Preferred 
Dipyridamole tablet , 
 ,FYLNETRA (pegfilgrastim-jmdb) syringe 
Pentoxifylline ER tablet , 
 ,"GRANIX (tbo-filgrastim) syringe, vial "
Prasugrel tablet, 
Preferred ,LEUKINE (sargramostim) vial 
 , 
FULPHILA (pegfilgrastim-jmdb) syringe ,"NEULASTA (pegfilgrastim) kit, syringe "
 , 
"NEUPOGEN (filgrastim) vial, syringe","NIVESTYM (filgrastim-aafi) syringe, vial "
, 
,NYVEPRIA (pegfilgrastim-apgf) syringe 
, 
,"RELEUKO (filgrastim-ayow) syringe, vial"
,STIMUFEND (pegfilgrastim-fpgk) syringe 
Preferred , 
 ,"UDENYCA (pegfilgrastim-cbqv) autoinjector, OnBody, syringe "
EPOGEN (epoetin alfa) vial , 
 ,ZARXIO (filgrastim-sndz) syringe 
RETACRIT (epoetin alfa-epbx) , 
(Pfizer only) vial,ZIEXTENZO (pegfilgrastim-bmez) syringe
,Non-Preferred 
, 
,"ARANESP (darbepoetin alfa) syringe, vial "
, 
,MIRCERA (methoxy peg-epoetin beta) syringe 
, 
,PROCRIT (epoetin alfa) vial 
, 
,RETACRIT (epoetin alfa-epbx) (Vifor only) vial
Preferred ,Non-Preferred 
 , 
CUVITRU 20% SQ liquid ,ALYGLO 10% IV liquid 
 , 
GAMMAGARD 10% IV/SQ liquid ,BIVIGAM 10% IV liquid 
 , 
GAMUNEX-C 10% IV/SQ liquid ,CUTAQUIG 16.5% SQ liquid 
 , 
"HIZENTRA 20% SQ syringe, ","FLEBOGAMMA DIF 5%, 10% IV liquid "
vial , 
 ,GAMMAGARD S/D vial 
PRIVIGEN 10% IV liquid , 
 ,GAMMAKED 10% IV/SQ liquid 
 , 
"If immune globulin is being administered in a long-term care facility or in a member’s home by a home healthcare provider, it should be billed as a pharmacy claim. All other claims must be submitted through the medical benefit.","GAMMAPLEX 5%, 10% IV liquid "
, 
,HYQVIA 10% SQ liquid 
, 
,"OCTAGAM 5%, 10% IV liquid "
, 
,PANZYGA 10% IV liquid 
, 
,XEMBIFY 20% IV liquid
No PA Required ,PA Required 
 , 
Cetirizine (OTC) syrup/solution ,"Cetirizine (OTC) chewable tablet, softgel, UD cups solution  "
"(OTC/RX), tablet ", 
 ,CLARINEX (desloratadine) tablet 
Desloratadine tablet (RX) , 
 ,Desloratadine ODT (RX) 
Levocetirizine tablet (RX/OTC) , 
 ,"Fexofenadine tablet (OTC), suspension (OTC) "
"Loratadine tablet (OTC), syrup/solution (OTC)", 
,Levocetirizine solution (RX)
No PA Required ,PA Required 
 , 
Loratadine-D (OTC) tablet,Cetirizine-PSE (OTC) 
, 
,CLARINEX-D (desloratadine-D) 
, 
,Fexofenadine/PSE (OTC)
"Montelukast tablet, chewable",
,Therapeutic Drug Class:  METHOTREXATE PRODUCTS -Effective 1/1/2025
No PA Required ,PA Required 
 , 
"Methotrexate oral tablet, vial",JYLAMVO (methotrexate) oral solution 
, 
,OTREXUP (methotrexate) auto-injector 
, 
,RASUVO (methotrexate) auto-injector 
, 
,REDITREX (methotrexate) syringe 
, 
,TREXALL (methotrexate) oral tablet 
, 
,XATMEP (methotrexate) oral solution
,Therapeutic Drug Class: MULTIPLE SCLEROSIS AGENTS -Effective 4/1/2025
,Disease Modifying Therapies
Preferred ,r
No PA Required  ,
(Unless indicated*) ,
 ,
"AVONEX (interferon beta 1a) pen, syringe ",
 ,
BETASERON (interferon beta ,
1b) injection ,
 ,
COPAXONEBNR (glatiramer) injection ,
 ,
"Dimethyl fumarate tablet, starte pack ",
 ,
Fingolimod capsule ,
 ,
*KESIMPTA (ofatumumab) ,
pen**2nd Line** ,
 ,
Teriflunomide tablet,
No PA Required ,PA Required 
 , 
Dalfampridine ER tablet,AMPYRA ER (dalfampridine) tablet
Preferred  ,Non-Preferred  
No PA Required ,PA Required 
(If diagnosis met) , 
(*Must meet eligibility criteria) ,"ABRILADA (adalimumab-afzb) pen, syringe "
 , 
"Adalimumab-aaty pen, syringe ","ACTEMRA (tocilizumab) syringe, Actpen "
 , 
"Adalimumab-adbm pen, syringe ","Adalimumab-aacf pen, syringe "
 , 
"CYLTEZO (adalimumab-adbm) pen, syringe ","Adalimumab-adaz pen, syringe "
 , 
ENBREL (etanercept),"Adalimumab-fkjp pen, syringe"
HADLIMA (adalimumab-bwwd) ,Adalimumab-ryvk auto-injector 
"Pushtouch, syringe ", 
 ,"AMJEVITA (adalimumab-atto) auto-injector, syringe "
HUMIRA (adalimumab) , 
 ,BIMZELX (bimekizumab-bkzx) pen 
"*KEVZARA (sarilumab) pen, syringe ", 
 ,"CIMZIA (certolizumab pegol) syringe, vial "
"*TALTZ (ixekizumab) 80 mg syringe, autoinjector ", 
 ,"COSENTYX (secukinumab) syringe, pen-injector "
"*TYENNE (tocilizumab-aazg)  pen, syringe ", 
 , 
XELJANZ IR (tofacitinib) tablet,"HULIO (adalimumab-fkjp) pen, syringe "
, 
,"HYRIMOZ (adalimumab-adaz) pen, syringe "
, 
,"IDACIO (adalimumab-aacf) pen, syringe "
, 
,ILARIS (canakinumab) vial 
, 
,KINERET (anakinra) syringe 
, 
,OLUMIANT (baricitinib) tablet 
, 
,"ORENCIA (abatacept) clickject, syringe  "
, 
,"RINVOQ (upadacitinib), solution, tablet "
, 
,SIMLANDI (adalimumab-ryvk) auto-injector 
, 
,"SIMPONI (golimumab) pen, syringe "
, 
,"SKYRIZI (risankizumab-rzaa) OnBody, SC pen, syringe "
, 
,XELJANZ (tofacitinib) solution 
, 
,XELJANZ XR (tofacitinib ER) tablet 
, 
,"YUFLYMA (adalimumab-aaty) auto-injector, syringe "
, 
, 
,YUSIMRY (adalimumab-aqvh) pen
,Note: Product formulations in the physician administered drug (PAD) category are located on Appendix P
Preferred  ,Non-Preferred 
No PA Required ,PA Required 
(If diagnosis met) , 
(*Must meet eligibility criteria) ,"ABRILADA (adalimumab-afzb) pen, syringe "
 , 
"Adalimumab-aaty pen, syringe ","Adalimumab-aacf pen, syringe "
 , 
"Adalimumab-adbm pen, syringe ","Adalimumab-adaz pen, syringe "
 , 
"CYLTEZO (adalimumab-adbm) pen, syringe ","Adalimumab-fkjp pen, syringe "
 , 
ENBREL (etanercept) ,Adalimumab-ryvk auto-injector 
 , 
HADLIMA (adalimumab-bwwd) ,"AMJEVITA (adalimumab-atto) auto-injector, syringe "
"Pushtouch, syringe ", 
 ,BIMZELX (bimekizumab-bkzx) pen 
HUMIRA (adalimumab) , 
 ,"CIMZIA (certolizumab pegol) syringe, vial"
*OTEZLA (apremilast) tablet,
*TALTZ (ixekizumab) 80 mg syringe ,"COSENTYX (secukinumab) syringe, pen-injector "
 , 
XELJANZ IR (tofacitinib) tablet, 
,"HULIO (adalimumab-fkjp) pen, syringe "
, 
,"HYRIMOZ (adalimumab-adaz) pen, syringe "
, 
,"IDACIO (adalimumab-aacf) pen, syringe "
, 
,"ORENCIA (abatacept) syringe, clickject "
, 
,RINVOQ (upadacitinib) tablet 
, 
,RINVOQ LQ (upadacitinib) solution 
, 
,SIMLANDI (adalimumab-ryvk) auto-injector 
, 
,"SIMPONI (golimumab) pen, syringe "
, 
,"SKYRIZI (risankizumab-rzaa) OnBody, pen, syringe "
, 
,STELARA (ustekinumab) syringe 
, 
,"TREMFYA (guselkumab) injector, syringe "
, 
,XELJANZ (tofacitinib) solution 
, 
,XELJANZ XR (tofacitinib ER) tablet 
, 
,"YUFLYMA (adalimumab-aaty) auto-injector, syringe "
, 
,YUSIMRY (adalimumab-aqvh) pen 
, 
,Note: Product formulations in the physician administered drug (PAD) category are located on Appendix P
Preferred  ,Non-Preferred 
No PA Required ,PA Required 
(If diagnosis met) , 
(*Must meet eligibility criteria) , 
 ,"ABRILADA (adalimumab-afzb) pen, syringe "
"Adalimumab-aaty pen, syringe ", 
 ,"Adalimumab-aacf pen, syringe "
"Adalimumab-adbm pen, syringe ", 
 ,"Adalimumab-adaz pen, syringe "
"CYLTEZO (adalimumab-adbm) pen, syringe ", 
 ,"Adalimumab-fkjp pen, syringe "
ENBREL (etanercept)  , 
 ,Adalimumab-ryvk auto-injector 
HADLIMA (adalimumab-bwwd) , 
"Pushtouch, syringe ","AMJEVITA (adalimumab-atto) auto-injector, syringe "
 , 
HUMIRA (adalimumab) ,BIMZELX (bimekizumab-bkzx) pen 
 , 
*OTEZLA (apremilast) tablet ,"CIMZIA (certolizumab pegol) syringe, vial "
 , 
*TALTZ (ixekizumab) 80 mg syringe ,"COSENTYX (secukinumab) syringe, pen-injector "
 , 
"TYENNE (tocilizumab-aazg)  pen, syringe", 
,"HULIO (adalimumab-fkjp) pen, syringe "
, 
,"HYRIMOZ (adalimumab-adaz) pen, syringe "
, 
,"IDACIO (adalimumab-aacf) pen, syringe "
, 
,"ORENCIA (abatacept) syringe, clickject "
, 
,SILIQ (brodalumab) syringe 
, 
,SIMLANDI (adalimumab-ryvk) auto-injector 
, 
,"SKYRIZI (risankizumab-rzaa) OnBody, pen, syringe "
, 
,SOTYKTU (ducravacitinib) oral tablet 
, 
,STELARA (ustekinumab) syringe 
, 
,"TALTZ (ixekizumab) 20mg, 40mg syringe "
, 
,"TREMFYA (guselkumab) injector, syringe"
,"YUFLYMA (adalimumab-aaty) auto-injector, syringe "
Preferred  , 
No PA Required ,YUSIMRY (adalimumab-aqvh) pen 
(If diagnosis met) , 
(*Must meet eligibility criteria) ,Note: Product formulations in the physician administered drug (PAD) category are located on 
 ,Appendix P
"Adalimumab-aaty pen, syringe ",Non-Preferred 
 ,PA Required 
"Adalimumab-adbm pen, syringe ", 
 ,"ABRILADA (adalimumab-afzb) pen, syringe "
"CYLTEZO (adalimumab-adbm) pen, syringe ", 
 ,"Adalimumab-aacf pen, syringe "
HADLIMA (adalimumab-bwwd) , 
"Pushtouch, syringe ","Adalimumab-adaz pen, syringe "
 , 
HUMIRA (adalimumab) ,"Adalimumab-fkjp pen, syringe "
 , 
*XELJANZ IR (tofacitinib) tablet,Adalimumab-ryvk auto-injector 
, 
,"AMJEVITA (adalimumab-atto) auto-injector, syringe "
, 
,"CIMZIA (certolizumab pegol) syringe, vial "
, 
,"COSENTYX (secukinumab) syringe, pen-injector "
, 
,ENTYVIO (vedolizumab) pen 
, 
,HULIO (adalimumab-fkjp) syringe 
, 
,"HYRIMOZ (adalimumab-adaz) pen, syringe "
, 
,"IDACIO (adalimumab-aacf) pen, syringe "
,OLUMIANT (baricitinib) tablet 
, 
